open_time,ticker,open,high,low,close,volume,ma_20,ma_50,ema_20,ema_50,atr_14,rsi_14
1654250400000,OP,1.4285,1.458,1.3,1.3185,10995675.7,1.49,1.35,1.45,1.43,0.09,36.03
1654254000000,OP,1.3185,1.3565,1.2855,1.3285,7701812.7,1.48,1.35,1.44,1.42,0.09,33.39
1654257600000,OP,1.3285,1.364,1.304,1.335,7348009.2,1.47,1.34,1.43,1.42,0.08,36.12
1654261200000,OP,1.335,1.391,1.3225,1.389,5780099.3,1.47,1.35,1.43,1.42,0.08,35.51
